user_id,group_name,text_index,WPM,resptime,text_input,feedback
user_0,txt,0,31.6,37.97,to Fred that the train had finally arrived. Finally. Fred had been waiting for the train on this lonely platforn,"The train, carrying many mysteries onboard, for Fred was more than just a mode of transportation, it was a key to his past."
user_0,txt,1,44.95,26.69,"praying that the train would come. He didn't know quite how long it had been, only that it seemed like","ong he had been sitting there, his mind consumed by thoughts of the journey ahead. His sense of time was becoming warped in the deafening silence."
user_0,txt,2,52.49,22.86,"like forever. Fred entered the train, gave his ticket to the conductor and went to find a seat. The t","nd found a vacant seat by the window. It was a cold, dreary night outside but the heated car offered solace."
user_0,txt,3,39.61,30.29,"The train was mostly empty. It was late and Fred had expected this, but it was almost... eerie how em",He wasn't prepared for the eeriness that this empty train would present. The silence was almost deafening as he navigated down the dimly lit aisle.
user_0,txt,4,40.24,29.82,"empty it was. At 11pm on a Monday night, surely there should be some people onboard. But he saw nob","n the platform, or carriage, but it's as if the whole city has suddenly disappeared."
user_0,txt,5,35.04,34.25,"in a seat, by the window, as he always did,and prepared himself for the long trip. Sighing, he busied m","for the long journey ahead, pulling out a worn paperback from his bag and cracking open the first page."
user_0,txt,6,49.94,24.03,"trip. Sighing, he busied himself with opening his briefcase to shuffle through his papers. He was on his way home,","His way to a high-stakes business meeting in the bustling city that never sleeps, New York."
user_0,txt,7,49.4,24.29,"that he no longer lived in, but he had to go. His mother had called and requested him come home,",been diagnosed with a severe illness that required immediate medical attention and familial support.
user_0,txt,8,44.05,27.24,"come home, as his ailing father was doing much worse. So on his way he went. He didn't knwo wha",His heart pounds in his chest as he anxiously runs through different scenarios in his mind about his father's condition.
user_0,txt,9,36.67,32.73,"was going, after all, there was nothing he could do for his father or for his mother for that matter.","or his distraught mother. A sense of obligation and filial duty had him onboard the last train, surrounded by an unsettling quietness."
user_0,txt,10,32.62,36.78,"That was a little odd, he thought to himself. The train had taken off so suddenly, like it was running","The humming of the train coupled with his growing fear fuels his dread, the lingering silence echoing his mounting anxiety about his father's health."
user_0,txt,11,45.39,26.44,it was running from something or someone. Fred mused that that was a little like himself bakc when he had,"mirror to his childhood, when he felt like a bystander in his own life, caught between his parents' constant disagreements."
user_0,txt,12,45.5,26.37,"bakc when he had left his hometown and family home, after a bad break up with his then girlfriend, Emily.","Fred's train of thought subsequently fell onto Serena, the high school sweetheart whose painful departure had left a lasting imprint on his heart."
user_0,txt,13,26.25,45.71,"Emilyck Thoughts of Emily started rushing through his mind as he sat, staring out the window into the black abyss.","he freezing darkness. Emily, his high school sweetheart, was the only person that truly understood his complex relationship with his father."
user_0,txt,14,47.94,25.03,"wasn't much to see outside, at least, whatever was out there was hidden by the pitch black of the night.","blackness of the night. The only light was the faint glow from his worn out wristwatch, emphasizing the significance of every passing second."
user_0,txt,15,33.99,35.31,"pitched ringing in his ears. He looked around, looking for the source of the noise, but saw nothing and b",immering faces of his past in the monotonous landscape that cruised by the train window.
user_0,txt,16,38.99,30.78,"source of the noise, but saw nothing and nobody. Again, this was strange. Where had the conductor gone? A fl","Weaves its way through the pitch-black night, shadowy landscapes seemingly swallowed up by the surrounding void, echoing Fred's underlying fear and guilt."
user_0,txt,17,25.74,46.62,"back to the window, where the night sky was lit up almost like the fourth of July. Startled, Fred continu","Fourth of July, an array of dazzling colors flashed across the darkness. He could register the screams of passengers as he stared, mesmerized."
